date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:45	46238/46238	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Feb%202023%2008:31:04%20GMT	https://www.guide-h.com/	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/index.html	(from )
23:10:46	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Feb%202023%2015:10:45%20GMT	https://www.guide-h.com/robots.txt		(from )
23:10:46	9351/9351	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Mar%202018%2017:08:40%20GMT	https://www.guide-h.com/css/textstyles.css	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/css/textstyles.css	(from https://www.guide-h.com/)
23:10:46	243973/243973	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Jun%202022%2006:49:02%20GMT	https://www.guide-h.com/styles.css	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/styles.css	(from https://www.guide-h.com/)
23:10:46	602/602	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Nov%202022%2006:48:50%20GMT	https://www.guide-h.com/user.css?20230202082919	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/user5494.css	(from https://www.guide-h.com/)
23:10:46	4238/4238	---M-Z	200	added ('OK')	application/xml	date:Thu,%2002%20Feb%202023%2008:31:04%20GMT	https://www.guide-h.com/rss.xml	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/rss.xml	(from https://www.guide-h.com/)
23:10:47	92629/92629	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/My%20Websites/https___www.guide-h.com_/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://www.guide-h.com/)
23:10:47	3638/3638	---M-Z	200	added ('OK')	image/x-icon	date:Mon,%2008%20Aug%202016%2005:37:28%20GMT	https://www.guide-h.com/favicon.ico	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/favicon.ico	(from https://www.guide-h.com/)
23:10:47	201955/201955	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jun%202018%2008:00:35%20GMT	https://www.guide-h.com/img/header.jpg	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/img/header.jpg	(from https://www.guide-h.com/)
23:10:48	115155/115155	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Nov%202014%2015:26:54%20GMT	https://www.guide-h.com/img/banner_top_tokuchou.jpg	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/img/banner_top_tokuchou.jpg	(from https://www.guide-h.com/)
23:10:48	4988/4988	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Aug%202017%2017:16:03%20GMT	https://www.guide-h.com/img/prof0.jpg	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/img/prof0.jpg	(from https://www.guide-h.com/)
23:10:48	31586/31586	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202022%2007:35:02%20GMT	https://www.guide-h.com/entry112.html	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/entry112.html	(from https://www.guide-h.com/)
23:10:48	102433/102433	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202022%2012:05:43%20GMT	https://www.guide-h.com/category2/	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/category2/index.html	(from https://www.guide-h.com/)
23:10:48	271/271	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Feb%202011%2009:14:39%20GMT	https://www.guide-h.com/img/osuume.gif	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/img/osuume.gif	(from https://www.guide-h.com/)
23:10:48	75976/75976	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2017:39:26%20GMT	https://www.guide-h.com/category2/site-hukugou/entry561.html	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/category2/site-hukugou/entry561.html	(from https://www.guide-h.com/)
23:10:49	79825/79825	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202022%2007:35:02%20GMT	https://www.guide-h.com/category2/site-av/entry634.html	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/category2/site-av/entry634.html	(from https://www.guide-h.com/)
23:10:49	50509/50509	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202022%2007:35:02%20GMT	https://www.guide-h.com/category2/site-shirouto/entry61.html	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/category2/site-shirouto/entry61.html	(from https://www.guide-h.com/)
23:10:49	54977/54977	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202023%2009:23:51%20GMT	https://www.guide-h.com/category5/	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/category5/index.html	(from https://www.guide-h.com/)
23:10:49	34981/34981	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Dec%202017%2007:36:50%20GMT	https://www.guide-h.com/img/hey_month_s300.jpg	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/img/hey_month_s300.jpg	(from https://www.guide-h.com/)
23:10:49	37574/37574	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2017:40:05%20GMT	https://www.guide-h.com/img/javholic_s300.jpg	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/img/javholic_s300.jpg	(from https://www.guide-h.com/)
23:10:49	58981/58981	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Dec%202017%2009:23:17%20GMT	https://www.guide-h.com/img/enkou55_s300.jpg	C:/My%20Websites/https___www.guide-h.com_/www.guide-h.com/img/enkou55_s300.jpg	(from https://www.guide-h.com/)
